"filename", "language", "JSON", "SCSS", "TypeScript", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farmService.service.ts", "TypeScript", 0, 0, 45, 0, 0, 0, 1, 12, 58
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.html", "HTML", 0, 0, 0, 0, 52, 0, 2, 3, 57
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.ts", "TypeScript", 0, 0, 70, 0, 0, 0, 0, 13, 83
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance.module.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 4, 45
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 28, 0, 0, 1, 29
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 2, 13, 81
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 1, 7, 27
